Date,Year,Month No,Month,Quarter,Day,Day Name,Is Weekend
2025-07-11,2025,7,July,3,11,Friday,False
2025-07-12,2025,7,July,3,12,Saturday,True
2025-07-13,2025,7,July,3,13,Sunday,True
2025-07-14,2025,7,July,3,14,Monday,False
2025-07-15,2025,7,July,3,15,Tuesday,False
2025-07-16,2025,7,July,3,16,Wednesday,False
2025-07-17,2025,7,July,3,17,Thursday,False
2025-07-18,2025,7,July,3,18,Friday,False
2025-07-19,2025,7,July,3,19,Saturday,True
2025-07-20,2025,7,July,3,20,Sunday,True
2025-07-21,2025,7,July,3,21,Monday,False
2025-07-22,2025,7,July,3,22,Tuesday,False
2025-07-23,2025,7,July,3,23,Wednesday,False
2025-07-24,2025,7,July,3,24,Thursday,False
2025-07-25,2025,7,July,3,25,Friday,False
2025-07-26,2025,7,July,3,26,Saturday,True
2025-07-27,2025,7,July,3,27,Sunday,True
2025-07-28,2025,7,July,3,28,Monday,False
2025-07-29,2025,7,July,3,29,Tuesday,False
2025-07-30,2025,7,July,3,30,Wednesday,False
2025-07-31,2025,7,July,3,31,Thursday,False
2025-08-01,2025,8,August,3,1,Friday,False
2025-08-02,2025,8,August,3,2,Saturday,True
2025-08-03,2025,8,August,3,3,Sunday,True
2025-08-04,2025,8,August,3,4,Monday,False
2025-08-05,2025,8,August,3,5,Tuesday,False
2025-08-06,2025,8,August,3,6,Wednesday,False
2025-08-07,2025,8,August,3,7,Thursday,False
2025-08-08,2025,8,August,3,8,Friday,False
2025-08-09,2025,8,August,3,9,Saturday,True
2025-08-10,2025,8,August,3,10,Sunday,True
2025-08-11,2025,8,August,3,11,Monday,False
2025-08-12,2025,8,August,3,12,Tuesday,False
2025-08-13,2025,8,August,3,13,Wednesday,False
2025-08-14,2025,8,August,3,14,Thursday,False
2025-08-15,2025,8,August,3,15,Friday,False
2025-08-16,2025,8,August,3,16,Saturday,True
